name,state,sector,ecosystem,sub_ecosystem,ceo_name,website,email,phone,facebook,instagram,linkedin,twitter,address
Presidential Enabling Business Environment Council (PEBEC),Abuja,Government,Policy and Regulation,Government,Prof. Yemi Osinbajo,http://www.pebec.gov.ng/,info@ebes.gov.ng,,https://www.facebook.com/EBESnigeria/,,,,"Plot 1181 , Aguiyi Ironsi Street"
Small and Medium Enterprise Development Agency of Nigeria (SMEDAN),Abuja,Government,Policy and Regulation,Government,Dr. Dikko Umaru Radda,https://smedan.gov.ng, info@smedan.gov.ng,0807 132 0380,https://www.facebook.com/smedaninfo,,,https://twitter.com/smedaninfo,"No 35, Port Harcourt Crescent , Off Gimbiya Street"
Standards Organization of Nigeria (SON),Lagos,Government,Policy and Regulation,Government,Mallam Farouk A. Salim,https://son.gov.ng,,0800 225 5766,https://www.facebook.com/sonnisnigeria/,,,https://twitter.com/sonnigeria?lang=en,Victoria Arobieke St
Lagos State Chambers of Commerce & Industry,Lagos,Government,Policy and Regulation,Government,Muda Yusuf,https://www.lagoschamber.com,lcci@lagoschamber.com,(+234)1-277-1557,https://www.facebook.com/lagoschamber/,https://www.instagram.com/lagoschamber88/,,https://twitter.com/lagoschamber88,"No 1, Idowu Taylor Street"
Association of Micro Entrepreneurs in Nigeria (AMEN)*,Lagos,Private Sector Groups & Associations,Policy and Regulation,Entrepreneurship Advocacy groups,Prince Saviour Iche,www.amenmicro.org,,8034754403,https://www.facebook.com/Amenigeria/,,,https://twitter.com/amennigeria,"No 503, Ikorodu Road, Ile-Ile bus stop"
Association of Small Business Owners of Nigeria (ASBON)*,Lagos,Private Sector Groups & Associations,Policy and Regulation,Entrepreneurship Advocacy groups,Olufemi Egbesola,www.asbon.org,asbonoffice@yahoo.com,8032651424,,,,,"No 33, Abeokuta street, Anifowose"
"Nigerian Association of Chambers of Commerce, Industry, Mines and Agriculture (NACCIMA)*",Lagos,Private Sector Groups & Associations,Policy and Regulation,Entrepreneurship Advocacy groups,Ambassador Ayoola Olukanni,https://www.naccima.com,info@naccima.com,+234 811 8877 562,https://web.facebook.com/naccima30?_rdc=1&_rdr,,https://www.linkedin.com/company/naccima30/,https://twitter.com/naccima30,"8A, Oba Akinjobi Way, Ikeja GRA"
Nigerian Association of Small and Medium Enterprises (NASME)*,Lagos,Private Sector Groups & Associations,Policy and Regulation,Entrepreneurship Advocacy groups,Prince Degun Agboade,https://nasmeonline.com,nasmenigeria2@gmail.com,7038711178,https://web.facebook.com/nasmengr/?_rdc=1&_rdr,,,https://twitter.com/nasmeng," 23A, Fatai Atere Way, Matori, Industrial Estate"
Nigerian Association of Small Scale Industrialists (NASSI)*,Abuja,Private Sector Groups & Associations,Policy and Regulation,Entrepreneurship Advocacy groups,Ifeanyi Oputa,,info@nassi.org.ng,23480 361 30044,https://web.facebook.com/nassinig,https://www.instagram.com/nassinig/,,https://twitter.com/NASSINIG1,WAEC Building
Nigerian Economic Summit Group (NESG)*,Lagos,Private Sector Groups & Associations,Policy and Regulation,Regulators,Laoye Jaiyeola,https://www.nesgroup.org,info@nesgroup.org,+234 1 2952849,https://www.facebook.com/officialNESG,https://www.instagram.com/officialNESG/,https://www.linkedin.com/company/the-nigerian-economic-summit-group/,https://twitter.com/officialNESG,"6, Oba Elegushi Street, off Oba Adeyinka Oyekan Avenue"
NECA’s Network of Entrepreneurial Women (NNEW)*,Lagos,Private Sector Groups & Associations,Policy and Regulation,Entrepreneurship Advocacy groups,Funmilayo Arowoogun,https://www.nnew.org,"info@nnew.org ,",234 909 000 0189,https://www.facebook.com/NNEWabuja/,https://www.instagram.com/nnewabuja/?hl=en,https://www.linkedin.com/in/nnewomen/?originalSubdomain=ng,https://twitter.com/Neca_NNEW,"NECA House, Plot A2 Hakeem Balogun Street"
Commonwealth Alliance of Young Entrepreneurs (CAYE) West Africa,Lagos,Private Sector Groups & Associations,Policy and Regulation,Entrepreneurship Advocacy groups,,http://cayewestafrica.org,cayewestafrica@gmail.com,,,,,,
Deloitte Nigeria,Lagos,Private Sector Groups & Associations,Policy and Regulation,Regulators,Fatai Folarin,http://www.deloitte.com/ng,infonigeria@deloitte.com.ng,+234 1 904 1700,https://www.facebook.com/DeloitteNigeria/,https://www.instagram.com/deloittenigeria/?hl=en,https://www.linkedin.com/company/deloitte-nigeria,https://twitter.com/DeloitteNigeria?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"Plot GA 1, Civic Towers, Ozumba Mbadiwe Avenue"
FATE Foundation,Lagos,Private Sector Groups & Associations,Policy and Regulation,Regulators,Fola Adeola,http://www.fatefoundation.org,info@fatefoundation.org,234701 130 5444,https://www.facebook.com/FateFoundation/,https://www.instagram.com/fatefoundation,https://www.instagram.com/fatefoundation,https://twitter.com/FATEFoundation,"1st Floor, Lagos State Water Corporation, Water House,"
Lagos State Chambers of Commerce & Industry,Lagos,Government,Policy and Regulation,Regulators,Muda Yusuf,https://www.lagoschamber.com,lcci@lagoschamber.com,(+234)1-277-1557,https://www.facebook.com/lagoschamber/,https://www.instagram.com/lagoschamber88/,,https://twitter.com/lagoschamber88,"No 1, Idowu Taylor Street"
Nigeria’s Employers Consultative Association (NECA),Lagos,Private Sector Groups & Associations,Policy and Regulation,Regulators,Dr. Timothy Olawale,https://www.neca.org.ng,neca@neca.org.ng,01 342 2356,https://www.facebook.com/Nigemployers,,,https://twitter.com/necadotorg,"Plot A2, Hakeem Balogun Street"
Bank of Industry (BOI),Lagos,Government,Training,Enterprise Support Organizations,Olukayode Pitan,https://www.boi.ng, customercare@boi.ng,+(234) 7002255264,https://web.facebook.com/BankofIndustryNigeria/?_rdc=1&_rdr,,https://www.linkedin.com/company/bank-of-industry-limited/?originalSubdomain=ng,https://web.facebook.com/BankofIndustryNigeria/?_rdc=1&_rdr,"23, Marina Street"
Entrepreneurship Development Centre - Northeast,Borno,Government,Training,Enterprise Support Organizations,,www.edcnortheast.com.ng,info@edcnortheast.com.ng,8065947021,,,,,"Old Informatics Institute, Njimtillo, Kano Road"
Entrepreneurship Development Centre - Southwest,Oyo,Government,Training,Enterprise Support Organizations,,http://www.edcsouthwest.org/,info@edcsouthwest.org,+234 809 7314 264,https://www.facebook.com/cbnedcsw,,,https://twitter.com/CBN_EDCsw,"Old Social Development Training Centre, Along Sango-UI Road"
Entrepreneurship Development Centre - Southsouth,Lagos,Government,Training,Enterprise Support Organizations,,https://ssedc.ng/,info@ssedc.org,7012823985,https://www.facebook.com/SSEDC/,https://www.instagram.com/southsouthedc/,https://www.linkedin.com/company/cbn-south-south-entrepreneurship-development-centre/,,
"National Youth Service Corps (NYSC), Skills Acquisition and Entrepreneurship Development (SAED)",Abuja,Government,Training,Enterprise Support Organizations,Nasamu Hilary A,https://www.nysc.gov.ng/saed.html,info@nysc.gov.ng,,https://web.facebook.com/officialnysc?_rdc=1&_rdr,https://www.instagram.com/officialnyscng/,,https://twitter.com/officialnyscng,"Plot 416, Tigris Crescent Off Aguiyi Ironsi Street"
Office for ICT Innovation & Entrepreneurship (OIIE),Abuja,Government,Training,Enterprise Support Organizations,Dr Amina Sambo-Magaji,http://ictinnovation.gov.ng/,info@ictinnovation.gov.ng,+234 909 788 8885,,,,,"5, Donau crescent off, Amazon Street"
Small and Medium Enterprise Development Agency of Nigeria (SMEDAN),Abuja,Government,Training,Enterprise Support Organizations,Dr. Dikko Umaru Radda,https://smedan.gov.ng, info@smedan.gov.ng,0807 132 0380,https://www.facebook.com/smedaninfo,,,https://twitter.com/smedaninfo,"No 35, Port Harcourt Crescent , Off Gimbiya Street"
Academy for Entrepreneurial Studies (AES),Lagos,Non-Profit,Training,Enterprise Support Organizations,DR. AUSBETH NNAMDI AJAGU,www.aes-edu.net,info@aes-edu.net,01-7642280,https://web.facebook.com/ACADEMY-FOR-ENTREPRENEURIAL-STUDIES-NIGERIA-78782107633/,,,,"17, Alhaji Bashorun Street Off Norman Williams Street"
After School Graduate Development Centre (AGDC),Lagos,Non-Profit,Training,Enterprise Support Organizations,,https://graddev.com,info@graddev.com,8178815176,https://web.facebook.com/agdcnigeria/?_rdc=1&_rdr,https://www.instagram.com/afterschool_dev/,,https://twitter.com/agdc_ng,"15, Providence House, First Floor,  Admiralty Way"
Centre for Entrepreneurial Development Lagos (CEDL),Lagos,Non-Profit,Training,Enterprise Support Organizations,,https://www.cedl.org,enquiries@cedl.org,(+234) 803 300 1311,https://web.facebook.com/?_rdc=1&_rdr,,,,"36, Murtala Mohammed International Airport Road"
Empretec,Lagos,Others,Training,Enterprise Support Organizations,Onari Bobmanuel Duke,http://empretecnigeriafoundation.org/,info@empretecnigeriafoundation.org,0803 236 0044,https://web.facebook.com/Empretec-Nigeria-Foundation-142547175757693/,,,https://twitter.com/empretecf,
FATE Foundation,Lagos,Development/Non Profit Organisation,Training,Enterprise Support Organizations,Fola Adeola,http://www.fatefoundation.org,info@fatefoundation.org,234701 130 5444,https://www.facebook.com/FateFoundation/,https://www.instagram.com/fatefoundation,https://www.instagram.com/fatefoundation,https://twitter.com/FATEFoundation,"1st Floor, Lagos State Water Corporation, Water House,"
Generation Enterprise,Lagos,Development/Non Profit Organisation,Training,Enterprise Support Organizations,Bunmi Otegbade,http://www.generationenterprise.org/,sayhello@generationenterprise.com,,,,,,
Growing Business Foundation,Lagos,Development/Non Profit Organisation,Training,Enterprise Support Organizations,Ndidi Edozien,https://gbfng.org,info@gbfng.org,(+3) 1800 555 2626,https://web.facebook.com/growingbusinessesfoundation/?_rdc=1&_rdr,,,,"160, Bamgbose Street (Behind City Hall)"
Institute of Entrepreneurial Studies (IES),Lagos,Non-Profit,Training,Others,,www.aes-edu.net,info@aes-edu.net,01-7642280,https://web.facebook.com/pages/category/Education/ACADEMY-FOR-ENTREPRENEURIAL-STUDIES-NIGERIA-78782107633/?_rdc=1&_rdr,,,,"Marble House 17 Alhaji Bashorun Street, Off Norman Williams Street,"
Junior Achievement,Lagos,Development/Non Profit Organisation,Training,Enterprise Support Organizations,Dr. Ausbeth Ajagu,https://ja-nigeria.org,INFO@JA-NIGERIA.ORG,+(234) 817 201 3370,https://web.facebook.com/JANigeria?_rdc=1&_rdr,https://www.instagram.com/janigeria/,https://www.linkedin.com/company/janigeria/,https://twitter.com/JANigeria,"Plot 17, Block 122 Adewale Kolawole Crescent"
LEAP Africa,Lagos,Development/Non Profit Organisation,Training,Enterprise Support Organizations,Femi Taiwo,https://www.leapafrica.org,info@leapafrica.org,01 454 6007,https://web.facebook.com/leapafrica/?_rdc=1&_rdr,https://www.instagram.com/leapafrica/,https://www.linkedin.com/company/leap-africa/,https://twitter.com/LEAPAfrica,"13 , Omorinre Johnson Street, Off Admiralty Way"
The Bridge Leadership Foundation,Lagos,Development/Non Profit Organisation,Training,Enterprise Support Organizations,Oluwafunmilola Ojo,https://thebridgeleadership.org,  info@thebridgeleadership.org, (+234) 810 5738 992,https://web.facebook.com/tblfoundatn?_rdc=1&_rdr,https://www.instagram.com/tblfoundation/,https://www.linkedin.com/in/tblfoundation/,https://twitter.com/tblfoundation,
Private Sector Health Alliance of Nigeria (PHN),Lagos,Development/Non Profit Organisation,Training,Enterprise Support Organizations,Muntaqa Umar-Sadiq,http://www.pshan.org/,communications@pshan.org,(01)4549079,https://web.facebook.com/Private-Sector-Health-Alliance-699885250056642/?_rdc=1&_rdr,https://www.instagram.com/phn_alliance/,,https://twitter.com/phn_alliance,"6th Floor Zenon House, 2, Ajose Adeogun"
Quantum Business School & Entrepreneurship Center,Rivers,Development/Non Profit Organisation,Training,Enterprise Support Organizations,Victor Itonyo,https://qbs.com.ng,info@qbs.com.ng,(+234) 7062992741,,,,,"1, Orusa Street, Off Woke Street, Off Sani Abacha Road"
She Leads Africa,Lagos,Non-Profit,Training,Enterprise Support Organizations,,,,,,,,,
Women in Management Business and Public Service (WIMBIZ),Lagos,Development/Non Profit Organisation,Training,Enterprise Support Organizations,Hansatu Adegbite,wimbiz@wimbiz.org,wimbiz@wimbiz.org,+234 803 494 6249,https://web.facebook.com/wimbizng/,https://www.instagram.com/wimbizng/,,https://twitter.com/wimbiz,"200B , sale Eko Avenue. Dolphin Estate"
"Center for Entrepreneruship and Innovation (CEI), University of Ibadan",Oyo,Academia,Training,Enterprise Support Organizations,,https://cei.ui.edu.ng, uientrep@gmail.com,"+234 - 802 335 1506,",,,,,"15, Awolowo Avenue, Old Bodija"
"Enterprise Development Center, (EDC) Pan Atlantic University",Lagos,Academia,Training,Enterprise Support Organizations,Mr. Peter Bamkole,https://www.pau.edu.ng/units/edc/,info@pau.edu.ng,+234 902 712 3425,https://web.facebook.com/PanAtlanticUniversity?_rdc=1&_rdr,,,https://twitter.com/PanAtlanticUni,"52, Lekki-Epe Expressway (Near Eleko Beach Junction)"
"Lagos Business School (LBS), Pan Atlantic University",Lagos,Academia,Training,Enterprise Support Organizations,Professor Juan M. Elegido,https://www.pau.edu.ng,info@pau.edu.ng,+234 902 712 3426,https://web.facebook.com/PanAtlanticUniversity?_rdc=1&_rdr,,,https://twitter.com/PanAtlanticUni,"52, Lekki-Epe Expressway (Near Eleko Beach Junction)"
Kaduna Business School (KBS),Kaduna,Academia,Training,Enterprise Support Organizations,Dahiru Sani,,, 0816 353 0245,,,,,"17,  Gobarau Road"
440NG,Lagos,Incubators & Accelerators,Training,Enterprise Support Organizations,Chika Nwobi,,,,,,,,
BD Hub,Lagos,Incubators & Accelerators,Training,Enterprise Support Organizations,Isaac Balami,,,,,,,,
Blue Hub,Lagos,Incubators & Accelerators,Training,Enterprise Support Organizations,Maryam Gwadabe,https://t.co/4lzd5Li6Be?amp=1,,,,,,https://twitter.com/bluehubng_?lang=en,
Co- Creation Hub (CCHub),Lagos,Incubators & Accelerators,Training,Enterprise Support Organizations,Bosun Tijani,https://cchubnigeria.com,info@cchubnigeria.com,+234 (01) 2950555,https://www.facebook.com/CcHUBNigeria/,https://www.instagram.com/cchubnigeria/,https://www.linkedin.com/company/co-creation-hub/,https://twitter.com/Cc_HUB,"294 , Herbert Macaulay Way, Sabo"
CoLab,Kaduna,Incubators & Accelerators,Training,Enterprise Support Organizations,Sanusi Ismaila,https://colab.com.ng,hi@colab.com.ng,2.35E+12,https://web.facebook.com/CoLabkd/?_rdc=1&_rdr,https://www.instagram.com/CoLabkd/,,https://twitter.com/CoLab_kd/,"4,  Barnawa Close"
Delta State Innovation Hub,Delta,Incubators & Accelerators,Training,Enterprise Support Organizations,Chris Uwaje,https://deltastateihub.com,support@deltastateihub.com,+234 904-222-3339 ,https://web.facebook.com/pages/Delta%20State%20Innovation%20Hub/382444678762184/?_rdc=1&_rdr,,,,"1, DBS Junction, Okpanam Rd, beside Zenith Bank"
Enspire Hub,Abuja,Incubators & Accelerators,Training,Enterprise Support Organizations,Bankole Oloruntoba,http://www.enspire.org.ng/,info@enspire.org.ng,0909 000 0952,https://web.facebook.com/enspireincubator/?_rdc=1&_rdr,https://www.instagram.com/enspireatv/,,https://twitter.com/enspireatv,"No 22, Aguiyi Ironsi Way, Maitama "
Founders Hub,Kwara,Incubators & Accelerators,Training,Enterprise Support Organizations,Adeyinka Adekeye,http://foundershub.xyz,contact@foundershub.xyz,+234 908 217 1728 ,,,,https://twitter.com/foundershubng/,"2, Onikanga Street"
Hebron StartUp Labs,Ogun,Incubators & Accelerators,Training,Enterprise Support Organizations,,http://startup.covenantuniversity.edu.ng/,startup@covenantuniversity.edu.ng,0817 758 3008,https://www.facebook.com/hebronstartup/,https://www.instagram.com/hebronstartup/,https://www.linkedin.com/company/hebron-startup-lab/?originalSubdomain=ng,https://twitter.com/hebronstartup?lang=en,"3rd floor, CUCRID Building, Covenant University"
Ideation Hub,Lagos,Incubators & Accelerators,Training,Enterprise Support Organizations,Debola Deji-Kurunmi,,,,,,,,
Leadpath Nigeria,Lagos,Incubators & Accelerators,Training,Enterprise Support Organizations,Olumide Soyombo,http://leadpath.com.ng/,,,https://www.facebook.com/leadpathng/,,,https://twitter.com/leadpathng?lang=en,"70, Olonode Street, Off Hughes Avenue"
NHub,Jos,Incubators & Accelerators,Training,Enterprise Support Organizations,Daser David,http://nhubnigeria.com,info@nhubnigeria.com,(+234) 806-889-7177,https://web.facebook.com/nHubNigeria/?_rdc=1&_rdr,https://www.instagram.com/nhub_ng/?hl=en,https://www.linkedin.com/company/nhub/?originalSubdomain=ng,https://twitter.com/nhubng?lang=en,"3rd Floor, TAEN Business Complex, Opposite former NITEL Office"
OlotuSquare,Rivers,Incubators & Accelerators,Training,Enterprise Support Organizations,Bruce Lucas,https://olotusquare.co,hello@olotusquare.co,+234 (0) 9067719044,https://web.facebook.com/olotusquare?_rdc=1&_rdr,https://www.instagram.com/olotusquare/,https://www.linkedin.com/company/olotusquare/,https://twitter.com/olotusquare,"1, Khana Street, D/Line"
Passion Incubator,Lagos,Incubators & Accelerators,Training,Enterprise Support Organizations,Olufunbi Falayi,http://www.passionincubator.ng/,nfo@passionincubator.ng,23433579178,https://web.facebook.com/passionincubator/?_rdc=1&_rdr,https://www.instagram.com/p_incubator/?hl=en,https://www.linkedin.com/company/passion-incubator/?originalSubdomain=ng,https://twitter.com/p_incubator?lang=en,"70 , Olonode Street"
ROAR Nigeria Hub,Enugu,Incubators & Accelerators,Training,Enterprise Support Organizations,Charles Emembolu,http://www.roarnigeria.org/,info@roarnigeria.org,0809 941 3182,https://web.facebook.com/roarnigeria/?_rdc=1&_rdr,https://www.instagram.com/roar_nigeria/,https://www.linkedin.com/in/roar-nigeria-hub-047098142/,https://twitter.com/roar_nigeria,"Beside CEC, directly behind Faculty of Art Theater Building, University of Nigeria Nsukka"
Root Hub,Akwa Ibom,Incubators & Accelerators,Training,Enterprise Support Organizations,Tony Onuk,http://theroothub.com/,info@theroothub.com,0809 242 7901,https://web.facebook.com/theroothub/?_rdc=1&_rdr,https://www.instagram.com/theroothub/,,https://twitter.com/theroothub/,"Akees Plaza, Opp Ibom Hall"
SPARK,Lagos,Incubators & Accelerators,Training,Enterprise Support Organizations,Chinedu Amah,http://www.thesparkng.com/,contribute@thesparkng.com,,https://web.facebook.com/thesparkng/?_rdc=1&_rdr,https://www.instagram.com/thesparkng/?hl=en,,https://twitter.com/thesparkng?lang=en,"21, Military Street, Off King George V Street"
Start Innovation Hub,Akwa Ibom,Incubators & Accelerators,Training,Enterprise Support Organizations,Hanson Johnson,http://www.starthub.com.ng/,email@starthub.com.ng,0909 000 9216,https://web.facebook.com/starthubtech/?_rdc=1&_rdr,https://www.instagram.com/starthubtech/?hl=en,https://www.linkedin.com/showcase/start-innovation-hub/,,"264, Oron road"
StartPreneurs,Abuja,Incubators & Accelerators,Training,Enterprise Support Organizations,Jennifer Chizua,http://www.startpreneurs.com.ng/,info@startpreneurs.com.ng,+234 814 042 4240,https://web.facebook.com/startpreneurs/?_rdc=1&_rdr,https://www.instagram.com/startpreneurs/,,https://twitter.com/startpreneurs?lang=en,"50, Ebitu Ukiwe Street"
StoneBricks Hub,Abuja,Incubators & Accelerators,Training,Enterprise Support Organizations,Omotola Agbi,http://www.stonebrickshub.com/,info@stonebricksgroup.com,0909 320 9133,https://web.facebook.com/StoneBricksHub/?_rdc=1&_rdr,https://www.instagram.com/stonebricks_hub/,,https://twitter.com/Stonebricks_hub,"10, Danube Close, Off Danube Street, Off IBB Boulevard,"
Technology Development for Poverty Alleviation Initiative (TD4PAI),Abuja,Incubators & Accelerators,Training,Enterprise Support Organizations,,http://www.td4pai.org,td4pai@gmail.com, (+234) 8038198759,https://web.facebook.com/td4pai?_rdc=1&_rdr,,,https://twitter.com/td4pai,"32, Pasali New Extension, Off Lanto Road"
Technology Incubation Center,Lagos,Incubators & Accelerators,Training,Enterprise Support Organizations,Rosaline G. Agiamoh,,,,,,,,
The Tangent Eco- Innovation Hub,Abuja,Incubators & Accelerators,Training,Enterprise Support Organizations,Dami Lawal,www.tangenthub.ng,,0809 456 2884,https://web.facebook.com/TangentHubNG/?_rdc=1&_rdr,,,https://twitter.com/tangent_hub?lang=en,"2, 3rd Floor , NEPZA Building, Zambezi Crescent"
Ventures Platform,Lagos,Incubators & Accelerators,Training,Enterprise Support Organizations,Kola Aina,www.venturesplatform.com,hello@venturesplatform.com,234 809 041 5327,https://web.facebook.com/VPlatformHub/?ref=bookmarks&_rdc=1&_rdr,https://www.instagram.com/vplatformhub/,,https://twitter.com/vplatformhub,"Legacy place, Plot 1619 Danmole Street, Off Idejo Street, Victoria Island"
We Hub,Lagos,Incubators & Accelerators,Training,Enterprise Support Organizations,,,,,,,,,
Wennovation Hub,Oyo,Incubators & Accelerators,Training,Enterprise Support Organizations,Wole Odetayo,http://www.wennovationhub.org/,enquiries@wennovationhub.org,0909 000 2648,https://web.facebook.com/wennovationhub?_rdc=1&_rdr,,,https://twitter.com/wennovation,"3rd Floor Alpha and Omega Building, Queen Elizabeth II Road, Mokola"
Association of Micro Entrepreneurs in Nigeria (AMEN)*,Lagos,Trade Groups/Associations,Training,Enterprise Support Organizations,Prince Saviour Iche,www.amenmicro.org,,8034754403,https://www.facebook.com/Amenigeria/,,,https://twitter.com/amennigeria,"No 503, Ikorodu Road, Ile-Ile bus stop"
Association of Small Business Owners of Nigeria (ASBON)*,Lagos,Trade Groups/Associations,Training,Enterprise Support Organizations,Olufemi Egbesola,www.asbon.org,asbonoffice@yahoo.com,8032651424,,,,,"No 33, Abeokuta street, Anifowose"
"Nigerian Association of Chambers of Commerce, Industry, Mines and Agriculture (NACCIMA)*",Lagos,Trade Groups/Associations,Training,Enterprise Support Organizations,Ambassador Ayoola Olukanni,https://www.naccima.com,info@naccima.com,+234 811 8877 562,https://web.facebook.com/naccima30?_rdc=1&_rdr,,https://www.linkedin.com/company/naccima30/,https://twitter.com/naccima30,"8A, Oba Akinjobi Way, Ikeja GRA"
Nigerian Association of Small and Medium Enterprises (NASME)*,Lagos,Trade Groups/Associations,Training,Enterprise Support Organizations,Prince Degun Agboade,https://nasmeonline.com,nasmenigeria2@gmail.com,7038711178,https://web.facebook.com/nasmengr/?_rdc=1&_rdr,,,https://twitter.com/nasmeng," 23A, Fatai Atere Way, Matori, Industrial Estate"
Nigerian Association of Small Scale Industrialists (NASSI)*,Abuja,Trade Groups/Associations,Training,Enterprise Support Organizations,Ifeanyi Oputa,,info@nassi.org.ng,23480 361 30044,https://web.facebook.com/nassinig,https://www.instagram.com/nassinig/,,https://twitter.com/NASSINIG1,WAEC Building
NECA’s Network of Entrepreneurial Women (NNEW)*,Lagos,Trade Groups/Associations,Training,Enterprise Support Organizations,Funmilayo Arowoogun,https://www.nnew.org,"info@nnew.org ,",234 909 000 0189,https://www.facebook.com/NNEWabuja/,https://www.instagram.com/nnewabuja/?hl=en,https://www.linkedin.com/in/nnewomen/?originalSubdomain=ng,https://twitter.com/Neca_NNEW,"NECA House, Plot A2 Hakeem Balogun Street"
Nigeria’s Employers Consultative Association (NECA),Lagos,Trade Groups/Associations,Training,Enterprise Support Organizations,Olawale Timothy,https://www.neca.org.ng, neca@neca.org.ng,234-1-3422356,https://www.facebook.com/Nigemployers,,,https://twitter.com/necadotorg,"Plot A2, Hakeem Balogun Street"
Lagos State Chambers of Commerce & Industry,Lagos,Government,Training,Enterprise Support Organizations,Muda Yusuf,https://www.lagoschamber.com,lcci@lagoschamber.com,(+234)1-277-1557,https://www.facebook.com/lagoschamber/,https://www.instagram.com/lagoschamber88/,,https://twitter.com/lagoschamber88,"No 1, Idowu Taylor Street"
Bank of Agriculture (BOA),Kaduna,Loans/Debt,Funding,Loan Providers,Alwan Ali Hassan,https://www.boanig.com,info@boanig.com,+234 7040202222,https://web.facebook.com/Bank-Of-Agriculture-167903340429964/?_rdc=1&_rdr,https://www.instagram.com/bankofagriculture/,,https://twitter.com/bankofagricng?lang=en,"1, Yakubu Gowon Way"
