name,state,sector,ecosystem,website,email,phone,facebook,instagram,linkedin,twitter,address
Standards Organization of Nigeria (SON),Lagos,Government,Policy and Regulation,https://son.gov.ng,,0800 225 5766,https://www.facebook.com/sonnisnigeria/,,,https://twitter.com/sonnigeria?lang=en,Victoria Arobieke St
Lagos State Chambers of Commerce & Industry,Lagos,Government,Policy and Regulation,https://www.lagoschamber.com,lcci@lagoschamber.com,(+234)1-277-1557,https://www.facebook.com/lagoschamber/,https://www.instagram.com/lagoschamber88/,,https://twitter.com/lagoschamber88,"No 1, Idowu Taylor Street"
State Houses of Assembly,,Government,Policy and Regulation,,,,,,,,
State Internal/ Inland Revenue Bodies,,Government,Policy and Regulation,,,,,,,,
Association of Micro Entrepreneurs in Nigeria (AMEN)*,Lagos,Private Sector Groups & Associations,Policy and Regulation,www.amenmicro.org,,8034754403,https://www.facebook.com/Amenigeria/,,,https://twitter.com/amennigeria,"No 503, Ikorodu Road, Ile-Ile bus stop"
Association of Small Business Owners of Nigeria (ASBON)*,Lagos,Private Sector Groups & Associations,Policy and Regulation,www.asbon.org,asbonoffice@yahoo.com,8032651424,,,,,"No 33, Abeokuta street, Anifowose"
"Nigerian Association of Chambers of Commerce, Industry, Mines and Agriculture (NACCIMA)*",Lagos,Private Sector Groups & Associations,Policy and Regulation,https://www.naccima.com,info@naccima.com,+234 811 8877 562,https://web.facebook.com/naccima30?_rdc=1&_rdr,,https://www.linkedin.com/company/naccima30/,https://twitter.com/naccima30,"8A, Oba Akinjobi Way, Ikeja GRA"
Nigerian Association of Small and Medium Enterprises (NASME)*,Lagos,Private Sector Groups & Associations,Policy and Regulation,https://nasmeonline.com,nasmenigeria2@gmail.com,7038711178,https://web.facebook.com/nasmengr/?_rdc=1&_rdr,,,https://twitter.com/nasmeng," 23A, Fatai Atere Way, Matori, Industrial Estate"
Nigerian Association of Small Scale Industrialists (NASSI)*,Abuja,Private Sector Groups & Associations,Policy and Regulation,,info@nassi.org.ng,23480 361 30044,https://web.facebook.com/nassinig,https://www.instagram.com/nassinig/,,https://twitter.com/NASSINIG1,WAEC Building
Nigerian Economic Summit Group (NESG)*,Lagos,Private Sector Groups & Associations,Policy and Regulation,https://www.nesgroup.org,info@nesgroup.org,+234 1 2952849,https://www.facebook.com/officialNESG,https://www.instagram.com/officialNESG/,https://www.linkedin.com/company/the-nigerian-economic-summit-group/,https://twitter.com/officialNESG,"6, Oba Elegushi Street, off Oba Adeyinka Oyekan Avenue"
NECA’s Network of Entrepreneurial Women (NNEW)*,Lagos,Private Sector Groups & Associations,Policy and Regulation,https://www.nnew.org,"info@nnew.org ,",234 909 000 0189,https://www.facebook.com/NNEWabuja/,https://www.instagram.com/nnewabuja/?hl=en,https://www.linkedin.com/in/nnewomen/?originalSubdomain=ng,https://twitter.com/Neca_NNEW,"NECA House, Plot A2 Hakeem Balogun Street"
Commonwealth Alliance of Young Entrepreneurs (CAYE) West Africa,,Private Sector Groups & Associations,Policy and Regulation,http://cayewestafrica.org,cayewestafrica@gmail.com,,,,,,
Deloitte Nigeria,Lagos,Private Sector Groups & Associations,Policy and Regulation,http://www.deloitte.com/ng,infonigeria@deloitte.com.ng,+234 1 904 1700,https://www.facebook.com/DeloitteNigeria/,https://www.instagram.com/deloittenigeria/?hl=en,https://www.linkedin.com/company/deloitte-nigeria,https://twitter.com/DeloitteNigeria?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"Plot GA 1, Civic Towers, Ozumba Mbadiwe Avenue"
FATE Foundation,Lagos,Private Sector Groups & Associations,Policy and Regulation,http://www.fatefoundation.org,info@fatefoundation.org,234701 130 5444,https://www.facebook.com/FateFoundation/,https://www.instagram.com/fatefoundation,https://www.instagram.com/fatefoundation,https://twitter.com/FATEFoundation,"1st Floor, Lagos State Water Corporation, Water House,"
Lagos State Chambers of Commerce & Industry,Lagos,Government,Policy and Regulation,https://www.lagoschamber.com,lcci@lagoschamber.com,(+234)1-277-1557,https://www.facebook.com/lagoschamber/,https://www.instagram.com/lagoschamber88/,,https://twitter.com/lagoschamber88,"No 1, Idowu Taylor Street"
Nigeria’s Employers Consultative Association (NECA),Lagos,Private Sector Groups & Associations,Policy and Regulation,https://www.neca.org.ng,neca@neca.org.ng,01 342 2356,https://www.facebook.com/Nigemployers,,,https://twitter.com/necadotorg,"Plot A2, Hakeem Balogun Street"
"Enhancing Nigerian Advocacy for a Better Business Environment (ENABLE), Department for International Development (DFID)*",,Development Finance Institutions (DFIs),Policy and Regulation,,,,,,,,
"Growth & Employment in States (GEMS) 3 & 4, DFID*",,Development Finance Institutions (DFIs),Policy and Regulation,,,,,,,,
"Policy Development Facility Programme, DFID*",,Development Finance Institutions (DFIs),Policy and Regulation,,,,,,,,
Bank of Industry (BOI),Lagos,Government,Training,https://www.boi.ng, customercare@boi.ng,+(234) 7002255264,https://web.facebook.com/BankofIndustryNigeria/?_rdc=1&_rdr,,https://www.linkedin.com/company/bank-of-industry-limited/?originalSubdomain=ng,https://web.facebook.com/BankofIndustryNigeria/?_rdc=1&_rdr,"23, Marina Street"
Entrepreneurship Development Centre - Northeast,Borno,Government,Training,www.edcnortheast.com.ng,info@edcnortheast.com.ng,8065947021,,,,,"Old Informatics Institute, Njimtillo, Kano Road"
Entrepreneurship Development Centre - Southwest,Oyo,Government,Training,http://www.edcsouthwest.org/,info@edcsouthwest.org,+234 809 7314 264,https://www.facebook.com/cbnedcsw,,,https://twitter.com/CBN_EDCsw,"Old Social Development Training Centre, Along Sango-UI Road"
Entrepreneurship Development Centre - Southsouth,,Government,Training,https://ssedc.ng/,info@ssedc.org,7012823985,https://www.facebook.com/SSEDC/,https://www.instagram.com/southsouthedc/,https://www.linkedin.com/company/cbn-south-south-entrepreneurship-development-centre/,,
"National Youth Service Corps (NYSC), Skills Acquisition and Entrepreneurship Development (SAED)",Abuja,Government,Training,https://www.nysc.gov.ng/saed.html,info@nysc.gov.ng,,https://web.facebook.com/officialnysc?_rdc=1&_rdr,https://www.instagram.com/officialnyscng/,,https://twitter.com/officialnyscng,"Plot 416, Tigris Crescent Off Aguiyi Ironsi Street"
Office for ICT Innovation & Entrepreneurship (OIIE),Abuja,,Training,http://ictinnovation.gov.ng/,info@ictinnovation.gov.ng,+234 909 788 8885,,,,,"5, Donau crescent off, Amazon Street"
Small and Medium Enterprise Development Agency of Nigeria (SMEDAN),Abuja,Government,Training,https://smedan.gov.ng, info@smedan.gov.ng,0807 132 0380,https://www.facebook.com/smedaninfo,,,https://twitter.com/smedaninfo,"No 35, Port Harcourt Crescent , Off Gimbiya Street"
Academy for Entrepreneurial Studies (AES),Lagos,Non-Profit Organization,Training,www.aes-edu.net,info@aes-edu.net,01-7642280,https://web.facebook.com/ACADEMY-FOR-ENTREPRENEURIAL-STUDIES-NIGERIA-78782107633/,,,,"17, Alhaji Bashorun Street Off Norman Williams Street"
After School Graduate Development Centre (AGDC),Lagos,Non-Profit Organization,Training,https://graddev.com,info@graddev.com,8178815176,https://web.facebook.com/agdcnigeria/?_rdc=1&_rdr,https://www.instagram.com/afterschool_dev/,,https://twitter.com/agdc_ng,"15, Providence House, First Floor,  Admiralty Way"
Business Academies of Faith Based Organizations (FBOs),,Non-Profit,Training,,,,,,,,
Centre for Entrepreneurial Development Lagos (CEDL),Lagos,Non-Profit Organization,Training,https://www.cedl.org,enquiries@cedl.org,(+234) 803 300 1311,https://web.facebook.com/?_rdc=1&_rdr,,,,"36, Murtala Mohammed International Airport Road"
Cherie Blair Foundation,,Non-Profit,Training,,,,,,,,
Empretec,,,Training,http://empretecnigeriafoundation.org/,info@empretecnigeriafoundation.org,0803 236 0044,https://web.facebook.com/Empretec-Nigeria-Foundation-142547175757693/,,,https://twitter.com/empretecf,
FATE Foundation,Lagos,Development/Non Profit Organisation,Business support,http://www.fatefoundation.org,info@fatefoundation.org,234701 130 5444,https://www.facebook.com/FateFoundation/,https://www.instagram.com/fatefoundation,https://www.instagram.com/fatefoundation,https://twitter.com/FATEFoundation,"1st Floor, Lagos State Water Corporation, Water House,"
Generation Enterprise,,Development/Non Profit Organisation,Training,http://www.generationenterprise.org/,sayhello@generationenterprise.com,,,,,,
Growing Business Foundation,Lagos,Development/Non Profit Organisation,Training,https://gbfng.org,info@gbfng.org,(+3) 1800 555 2626,https://web.facebook.com/growingbusinessesfoundation/?_rdc=1&_rdr,,,,"160, Bamgbose Street (Behind City Hall)"
Institute of Entrepreneurial Studies (IES),,Non-Profit,Training,,,,,,,,
Junior Achievement,Lagos,Development/Non Profit Organisation,Training,https://ja-nigeria.org,INFO@JA-NIGERIA.ORG,+(234) 817 201 3370,https://web.facebook.com/JANigeria?_rdc=1&_rdr,https://www.instagram.com/janigeria/,https://www.linkedin.com/company/janigeria/,https://twitter.com/JANigeria,"Plot 17, Block 122 Adewale Kolawole Crescent"
LEAP Africa,Lagos,Development/Non Profit Organisation,Training,https://www.leapafrica.org,info@leapafrica.org,01 454 6007,https://web.facebook.com/leapafrica/?_rdc=1&_rdr,https://www.instagram.com/leapafrica/,https://www.linkedin.com/company/leap-africa/,https://twitter.com/LEAPAfrica,"13 , Omorinre Johnson Street, Off Admiralty Way"
The Bridge Leadership Foundation,,Development/Non Profit Organisation,Training,https://thebridgeleadership.org,  info@thebridgeleadership.org, (+234) 810 5738 992,https://web.facebook.com/tblfoundatn?_rdc=1&_rdr,https://www.instagram.com/tblfoundation/,https://www.linkedin.com/in/tblfoundation/,https://twitter.com/tblfoundation,
Private Sector Health Alliance of Nigeria (PHN),Lagos,Development/Non Profit Organisation,Training,http://www.pshan.org/,communications@pshan.org,(01)4549079,https://web.facebook.com/Private-Sector-Health-Alliance-699885250056642/?_rdc=1&_rdr,https://www.instagram.com/phn_alliance/,,https://twitter.com/phn_alliance,"6th Floor Zenon House, 2, Ajose Adeogun"
Quantum Business School & Entrepreneurship Center,Rivers ,Development/Non Profit Organisation,Training,https://qbs.com.ng,info@qbs.com.ng,(+234) 7062992741,,,,,"1, Orusa Street, Off Woke Street, Off Sani Abacha Road"
She Leads Africa,,Non-Profit,Training,,,,,,,,
Women in Management Business and Public Service (WIMBIZ),Lagos,Development/Non Profit Organisation,Training,wimbiz@wimbiz.org,wimbiz@wimbiz.org,+234 803 494 6249,https://web.facebook.com/wimbizng/,https://www.instagram.com/wimbizng/,,https://twitter.com/wimbiz,"200B , sale Eko Avenue. Dolphin Estate"
"Center for Entrepreneruship and Innovation (CEI), University of Ibadan",Oyo,Academia,Training,https://cei.ui.edu.ng, uientrep@gmail.com,"+234 - 802 335 1506,",,,,,"15, Awolowo Avenue, Old Bodija"
"Enterprise Development Center, (EDC) Pan Atlantic University",Lagos,Academia,Training,https://www.pau.edu.ng/units/edc/,info@pau.edu.ng,+234 902 712 3425,https://web.facebook.com/PanAtlanticUniversity?_rdc=1&_rdr,,,https://twitter.com/PanAtlanticUni,"52, Lekki-Epe Expressway (Near Eleko Beach Junction)"
"Lagos Business School (LBS), Pan Atlantic University",Lagos,Academia,Training,https://www.pau.edu.ng,info@pau.edu.ng,+234 902 712 3426,https://web.facebook.com/PanAtlanticUniversity?_rdc=1&_rdr,,,https://twitter.com/PanAtlanticUni,"52, Lekki-Epe Expressway (Near Eleko Beach Junction)"
Kaduna Business School (KBS),Kaduna,Academia,Training,,, 0816 353 0245,,,,,"17,  Gobarau Road"
440NG,,Incubators & Accelerators,Training,,,,,,,,
BD Hub,,Incubators & Accelerators,Training,,,,,,,,
Blue Hub,,Incubators & Accelerators,Training,https://t.co/4lzd5Li6Be?amp=1,,,,,,https://twitter.com/bluehubng_?lang=en,
Co- Creation Hub (CCHub),Lagos,Incubators & Accelerators,Training,https://cchubnigeria.com,info@cchubnigeria.com,+234 (01) 2950555,https://www.facebook.com/CcHUBNigeria/,https://www.instagram.com/cchubnigeria/,https://www.linkedin.com/company/co-creation-hub/,https://twitter.com/Cc_HUB,"294 , Herbert Macaulay Way, Sabo"
CoLab,Kaduna,Incubators & Accelerators,Training,https://colab.com.ng,hi@colab.com.ng,2.34816E+12,https://web.facebook.com/CoLabkd/?_rdc=1&_rdr,https://www.instagram.com/CoLabkd/,,https://twitter.com/CoLab_kd/,"4,  Barnawa Close"
Delta State Innovation Hub,Delta,Incubators & Accelerators,Training,https://deltastateihub.com,support@deltastateihub.com,+234 904-222-3339 ,https://web.facebook.com/pages/Delta%20State%20Innovation%20Hub/382444678762184/?_rdc=1&_rdr,,,,"1, DBS Junction, Okpanam Rd, beside Zenith Bank"
Enspire Hub,Abuja,Incubators & Accelerators,Training,http://www.enspire.org.ng/,info@enspire.org.ng,0909 000 0952,https://web.facebook.com/enspireincubator/?_rdc=1&_rdr,https://www.instagram.com/enspireatv/,,https://twitter.com/enspireatv,"No 22, Aguiyi Ironsi Way, Maitama "
Focus Hub,,Incubators & Accelerators,Training,,,,,,,,
Founders Hub,Kwara ,Incubators & Accelerators,Training,http://foundershub.xyz,contact@foundershub.xyz,+234 908 217 1728 ,,,,https://twitter.com/foundershubng/,"2, Onikanga Street"
Hebron StartUp Labs,Ogun,Incubators & Accelerators,Training,http://startup.covenantuniversity.edu.ng/,startup@covenantuniversity.edu.ng,0817 758 3008,https://www.facebook.com/hebronstartup/,https://www.instagram.com/hebronstartup/,https://www.linkedin.com/company/hebron-startup-lab/?originalSubdomain=ng,https://twitter.com/hebronstartup?lang=en,"3rd floor, CUCRID Building, Covenant University"
iDEA Hub,,Incubators & Accelerators,Training,,info@theideahubafrica.com,,,,,,
Ideation Hub,,Incubators & Accelerators,Training,,,,,,,,
Leadpath Nigeria,Lagos,Incubators & Accelerators,Training,http://leadpath.com.ng/,,,https://www.facebook.com/leadpathng/,,,https://twitter.com/leadpathng?lang=en,"70, Olonode Street, Off Hughes Avenue"
NHub,Jos,Incubators & Accelerators,Training,http://nhubnigeria.com,info@nhubnigeria.com,(+234) 806-889-7177,https://web.facebook.com/nHubNigeria/?_rdc=1&_rdr,https://www.instagram.com/nhub_ng/?hl=en,https://www.linkedin.com/company/nhub/?originalSubdomain=ng,https://twitter.com/nhubng?lang=en,"3rd Floor, TAEN Business Complex, Opposite former NITEL Office"
OlotuSquare,Rivers State,Incubators & Accelerators,Training,https://olotusquare.co,hello@olotusquare.co,+234 (0) 9067719044,https://web.facebook.com/olotusquare?_rdc=1&_rdr,https://www.instagram.com/olotusquare/,https://www.linkedin.com/company/olotusquare/,https://twitter.com/olotusquare,"1, Khana Street, D/Line"
Passion Incubator,Lagos,Incubators & Accelerators,Training,http://www.passionincubator.ng/,nfo@passionincubator.ng,23433579178,https://web.facebook.com/passionincubator/?_rdc=1&_rdr,https://www.instagram.com/p_incubator/?hl=en,https://www.linkedin.com/company/passion-incubator/?originalSubdomain=ng,https://twitter.com/p_incubator?lang=en,"70 , Olonode Street"
ROAR Nigeria Hub,Enugu,Incubators & Accelerators,Training,http://www.roarnigeria.org/,info@roarnigeria.org,0809 941 3182,https://web.facebook.com/roarnigeria/?_rdc=1&_rdr,https://www.instagram.com/roar_nigeria/,https://www.linkedin.com/in/roar-nigeria-hub-047098142/,https://twitter.com/roar_nigeria,"Beside CEC, directly behind Faculty of Art Theater Building, University of Nigeria Nsukka"
Root Hub,Akwa Ibom,Incubators & Accelerators,Training,http://theroothub.com/,info@theroothub.com,0809 242 7901,https://web.facebook.com/theroothub/?_rdc=1&_rdr,https://www.instagram.com/theroothub/,,https://twitter.com/theroothub/,"Akees Plaza, Opp Ibom Hall"
SPARK,Lagos,Incubators & Accelerators,Training,http://www.thesparkng.com/,contribute@thesparkng.com,,https://web.facebook.com/thesparkng/?_rdc=1&_rdr,https://www.instagram.com/thesparkng/?hl=en,,https://twitter.com/thesparkng?lang=en,"21, Military Street, Off King George V Street"
Start Innovation Hub,Akwa Ibom,Incubators & Accelerators,Training,http://www.starthub.com.ng/,email@starthub.com.ng,0909 000 9216,https://web.facebook.com/starthubtech/?_rdc=1&_rdr,https://www.instagram.com/starthubtech/?hl=en,https://www.linkedin.com/showcase/start-innovation-hub/,,"264, Oron road"
StartPreneurs,Abuja,Incubators & Accelerators,Training,http://www.startpreneurs.com.ng/,info@startpreneurs.com.ng,+234 814 042 4240,https://web.facebook.com/startpreneurs/?_rdc=1&_rdr,https://www.instagram.com/startpreneurs/,,https://twitter.com/startpreneurs?lang=en,"50, Ebitu Ukiwe Street"
StoneBricks Hub,Abuja,Incubators & Accelerators,Training,http://www.stonebrickshub.com/,info@stonebricksgroup.com,0909 320 9133,https://web.facebook.com/StoneBricksHub/?_rdc=1&_rdr,https://www.instagram.com/stonebricks_hub/,,https://twitter.com/Stonebricks_hub,"10, Danube Close, Off Danube Street, Off IBB Boulevard,"
Technology Development for Poverty Alleviation Initiative (TD4PAI),Abuja,Incubators & Accelerators,Training,http://www.td4pai.org,td4pai@gmail.com, (+234) 8038198759,https://web.facebook.com/td4pai?_rdc=1&_rdr,,,https://twitter.com/td4pai,"32, Pasali New Extension, Off Lanto Road"
Technology Incubation Center,,Incubators & Accelerators,Training,http://www.tangenthub.ng/,info@tangenthub.com.ng,0809 456 2884,https://web.facebook.com/TangentHubNG/?_rdc=1&_rdr,https://www.instagram.com/TangentHubNG/?fbclid=IwAR1Dnr6I86z9BJ9YLSY5KMDAz1gl6wGl7OTDBLPV7807d_Bg7VCSx08E2UI,,https://twitter.com/Tangent_Hub?fbclid=IwAR1T6l__smSFfCZ2fpshNWd9PuQc2vnievU6OqAET8wR-Vi9i_x2C84ifDQ,
The Tangent Eco- Innovation Hub,Abuja,Incubators & Accelerators,Training,,,,,,,,"2, 3rd Floor , NEPZA Building, Zambezi Crescent"
Ventures Platform,,Incubators & Accelerators,Training,,,,,,,,
We Hub,,Incubators & Accelerators,Training,,,,,,,,
Wennovation Hub,Oyo,Incubators & Accelerators,Training,http://www.wennovationhub.org/,enquiries@wennovationhub.org,0909 000 2648,https://web.facebook.com/wennovationhub?_rdc=1&_rdr,,,https://twitter.com/wennovation,"3rd Floor Alpha and Omega Building, Queen Elizabeth II Road, Mokola"
Association of Micro Entrepreneurs in Nigeria (AMEN)*,Lagos,Trade Groups/Associations,Training,www.amenmicro.org,,8034754403,https://www.facebook.com/Amenigeria/,,,https://twitter.com/amennigeria,"No 503, Ikorodu Road, Ile-Ile bus stop"
Association of Small Business Owners of Nigeria (ASBON)*,Lagos,Trade Groups/Associations,Training,www.asbon.org,asbonoffice@yahoo.com,8032651424,,,,,"No 33, Abeokuta street, Anifowose"
"Nigerian Association of Chambers of Commerce, Industry, Mines and Agriculture (NACCIMA)*",Lagos,Trade Groups/Associations,Training,https://www.naccima.com,info@naccima.com,+234 811 8877 562,https://web.facebook.com/naccima30?_rdc=1&_rdr,,https://www.linkedin.com/company/naccima30/,https://twitter.com/naccima30,"8A, Oba Akinjobi Way, Ikeja GRA"
Nigerian Association of Small and Medium Enterprises (NASME)*,Lagos,Trade Groups/Associations,Training,https://nasmeonline.com,nasmenigeria2@gmail.com,7038711178,https://web.facebook.com/nasmengr/?_rdc=1&_rdr,,,https://twitter.com/nasmeng," 23A, Fatai Atere Way, Matori, Industrial Estate"
Nigerian Association of Small Scale Industrialists (NASSI)*,Abuja,Trade Groups/Associations,Training,,info@nassi.org.ng,23480 361 30044,https://web.facebook.com/nassinig,https://www.instagram.com/nassinig/,,https://twitter.com/NASSINIG1,WAEC Building
NECA’s Network of Entrepreneurial Women (NNEW)*,Lagos,Trade Groups/Associations,Training,https://www.nnew.org,"info@nnew.org ,",234 909 000 0189,https://www.facebook.com/NNEWabuja/,https://www.instagram.com/nnewabuja/?hl=en,https://www.linkedin.com/in/nnewomen/?originalSubdomain=ng,https://twitter.com/Neca_NNEW,"NECA House, Plot A2 Hakeem Balogun Street"
Nigeria’s Employers Consultative Association (NECA),Lagos,Trade Groups/Associations,Training,https://www.neca.org.ng, neca@neca.org.ng,234-1-3422356,https://www.facebook.com/Nigemployers,,,https://twitter.com/necadotorg,"Plot A2, Hakeem Balogun Street"
Lagos State Chambers of Commerce & Industry,Lagos,Government,Training,https://www.lagoschamber.com,lcci@lagoschamber.com,(+234)1-277-1557,https://www.facebook.com/lagoschamber/,https://www.instagram.com/lagoschamber88/,,https://twitter.com/lagoschamber88,"No 1, Idowu Taylor Street"
Bank of Agriculture (BOA),Kaduna,Loans & Debt,Funding,https://www.boanig.com,info@boanig.com,+234 7040202222,https://web.facebook.com/Bank-Of-Agriculture-167903340429964/?_rdc=1&_rdr,https://www.instagram.com/bankofagriculture/,,https://twitter.com/bankofagricng?lang=en,"1, Yakubu Gowon Way"
Bank of Industry (BOI),Lagos,Loans & Debt,Funding,https://www.boi.ng, customercare@boi.ng,+(234) 7002255264,https://web.facebook.com/BankofIndustryNigeria/?_rdc=1&_rdr,,https://www.linkedin.com/company/bank-of-industry-limited/?originalSubdomain=ng,https://web.facebook.com/BankofIndustryNigeria/?_rdc=1&_rdr,"23, Marina Street"
Central Bank of Nigeria (CBN),Abuja,Government,Funding,cbn.gov.ng,contactcbn@cbn.gov.ng,+234 700 225 5226,ttps://web.facebook.com/cenbankng/,,linkedin.com/in/central-bank-of-nigeria-68611917,twitter.com/cenbank,"Plot 33, Abubakar Tafawa Balewa Way"
Commercial Banks,,Loans/Debt,Funding,,,,,,,,
Dangote Foundation,,Loans/Debt,Funding,https://www.dangote.com/foundation/?fbclid=IwAR3cndua08ACns4r78ZNbQjdwxGWvAUs5ZlEshWoG5zgq7iV6hAswcobooM,communications@dangote.com," +234 1 448 0815, ",https://www.facebook.com/AlikoDangoteFDN/,,,https://twitter.com/AlikoDangoteFdn,
GroFin,Lagos,Loans & Debt,Funding,https://grofin.com/contact/grofin-nigeria-lagos/,lagos@grofin.com,+234 705 696 6666 ,https://www.facebook.com/GroFinGroup/,https://www.instagram.com/grofin_group/,https://www.linkedin.com/company/grofin/,https://twitter.com/grofin,"23, Oba Akinjobi Way, G.R.A"
International Finance Corporation (IFC),Lagos,Loans & Debt,Funding,https://www.ifc.org/wps/wcm/connect/RegProjects_Ext_Content/IFC_External_Corporate_Site/ESMID_Home/Contacts/,comms@ifc.org,+234 1 262 6455/64,https://www.facebook.com/IFCwbg,https://www.instagram.com/ifc_org/,https://www.linkedin.com/company/ifclinkedin/,https://twitter.com/IFC_org,"Plot 121, Louis Solomon Close, Off Ahmadu Bello Way"
Kaduna Start-up Entrepreneurship Programme (KADSTEP),Kaduna,Loans & Debt,Funding,https://kadunastep.com,info@kadstep.com,+234 703 193 3321,https://www.facebook.com/stepinkaduna,,,https://twitter.com/kadstep,"17, Gobarau Road"
Lagos State Employment Trust Fund (LSETF),Lagos,Loans & Debt,Funding,http://www.lsetf.ng/,,01-7000969,https://www.facebook.com/lsetfng/,https://www.instagram.com/lsetf/,,https://twitter.com/lsetf/,"16, Billings Way"
Lydia,Lagos,Loans/Debt,Funding,https://www.lidya.co/,info@lidya.co,,https://www.facebook.com/LidyaNigeria/,https://www.instagram.com/lidyadotco/,https://www.linkedin.com/company/lidyadotco/,https://twitter.com/lidyadotco,"2b , Oko Awo Street"
Microfinance Banks,,Loans/Debt,Funding,,,,,,,,
Nigeria Incentive- Based Risk Sharing System for Agricultural Lending (NIRSAL),Abuja,Loans & Debt,Funding,https://nirsal.com,info@nirsal.com,+234(0)813 988 2220,https://www.facebook.com/nirsalconnect/,https://www.instagram.com/nirsalplc/,https://www.linkedin.com/company/nirsalconnect/,https://twitter.com/nirsalconnect,"1581, Tigris Crescent"
Oxfam,Abuja,Grants,Funding,https://nigeria.oxfam.org,,+234 7086 625 290,https://www.facebook.com/OxfaminNigeria,,,https://twitter.com/Oxfaminnigeria,"11, Ganges Street, Off Alvan Ikoku Way"
Business Innovation Growth,,Grants,Funding,,,,,,,,
