name,state,sector,ecosystem,sub_ecosystem,sub_ecosystem_sub_class,ceo_gender,ceo_name,website,email,phone,facebook,instagram,linkedin,twitter,address
Institute of Entrepreneurial Studies (IES),Lagos,Development Sector,Training,Enterprise Support Organizations,,,,www.aes-edu.net,info@aes-edu.net,01-7642280,https://web.facebook.com/pages/category/Education/ACADEMY-FOR-ENTREPRENEURIAL-STUDIES-NIGERIA-78782107633/?_rdc=1&_rdr,,,,"Marble House 17 Alhaji Bashorun Street, Off Norman Williams Street,"
Junior Achievement,Lagos,Development Sector,Training,Enterprise Support Organizations,,Male,Dr. Ausbeth Ajagu,https://ja-nigeria.org,INFO@JA-NIGERIA.ORG,+(234) 817 201 3370,https://web.facebook.com/JANigeria?_rdc=1&_rdr,https://www.instagram.com/janigeria/,https://www.linkedin.com/company/janigeria/,https://twitter.com/JANigeria,"Plot 17, Block 122 Adewale Kolawole Crescent"
LEAP Africa,Lagos,Development Sector,Training,Enterprise Support Organizations,,,Femi Taiwo,https://www.leapafrica.org,info@leapafrica.org,01 454 6007,https://web.facebook.com/leapafrica/?_rdc=1&_rdr,https://www.instagram.com/leapafrica/,https://www.linkedin.com/company/leap-africa/,https://twitter.com/LEAPAfrica,"13 , Omorinre Johnson Street, Off Admiralty Way"
The Bridge Leadership Foundation,,Development Sector,Training,Enterprise Support Organizations,,Female,Oluwafunmilola Ojo,https://thebridgeleadership.org,  info@thebridgeleadership.org, (+234) 810 5738 992,https://web.facebook.com/tblfoundatn?_rdc=1&_rdr,https://www.instagram.com/tblfoundation/,https://www.linkedin.com/in/tblfoundation/,https://twitter.com/tblfoundation,
Private Sector Health Alliance of Nigeria (PHN),Lagos,Development Sector,Training,Enterprise Support Organizations,,Male,Muntaqa Umar-Sadiq,http://www.pshan.org/,communications@pshan.org,(01)4549079,https://web.facebook.com/Private-Sector-Health-Alliance-699885250056642/?_rdc=1&_rdr,https://www.instagram.com/phn_alliance/,,https://twitter.com/phn_alliance,"6th Floor Zenon House, 2, Ajose Adeogun"
Quantum Business School & Entrepreneurship Center,Rivers,Development Sector,Training,Enterprise Support Organizations,,Male,Victor Itonyo,https://qbs.com.ng,info@qbs.com.ng,(+234) 7062992741,,,,,"1, Orusa Street, Off Woke Street, Off Sani Abacha Road"
She Leads Africa,,Development Sector,Training,Enterprise Support Organizations,,,,,,,,,,,
Women in Management Business and Public Service (WIMBIZ),Lagos,Development Sector,Training,Enterprise Support Organizations,,Female,Hansatu Adegbite,wimbiz@wimbiz.org,wimbiz@wimbiz.org,+234 803 494 6249,https://web.facebook.com/wimbizng/,https://www.instagram.com/wimbizng/,,https://twitter.com/wimbiz,"200B , sale Eko Avenue. Dolphin Estate"
"Center for Entrepreneruship and Innovation (CEI), University of Ibadan",Oyo,Private Sector,Training,Enterprise Support Organizations,,,,https://cei.ui.edu.ng, uientrep@gmail.com,"+234 - 802 335 1506,",,,,,"15, Awolowo Avenue, Old Bodija"
"Enterprise Development Center, (EDC) Pan Atlantic University",Lagos,Private Sector,Training,Enterprise Support Organizations,,Male,Peter Bamkole,https://www.pau.edu.ng/units/edc/,info@pau.edu.ng,+234 902 712 3425,https://web.facebook.com/PanAtlanticUniversity?_rdc=1&_rdr,,,https://twitter.com/PanAtlanticUni,"52, Lekki-Epe Expressway (Near Eleko Beach Junction)"
"Lagos Business School (LBS), Pan Atlantic University",Lagos,Private Sector,Training,Enterprise Support Organizations,,Male,Professor Juan M. Elegido,https://www.pau.edu.ng,info@pau.edu.ng,+234 902 712 3426,https://web.facebook.com/PanAtlanticUniversity?_rdc=1&_rdr,,,https://twitter.com/PanAtlanticUni,"52, Lekki-Epe Expressway (Near Eleko Beach Junction)"
Kaduna Business School (KBS),Kaduna,Private Sector,Training,Enterprise Support Organizations,,Male,Dahiru Sani,,, 0816 353 0245,,,,,"17,  Gobarau Road"
Blue Hub,,Technology,Training,Incubators,,Female,Maryam Gwadabe,https://t.co/4lzd5Li6Be?amp=1,,,,,,https://twitter.com/bluehubng_?lang=en,
Co- Creation Hub (CCHub),Lagos,Technology,Training,Incubators,,Male,Bosun Tijani,https://cchubnigeria.com,info@cchubnigeria.com,+234 (01) 2950555,https://www.facebook.com/CcHUBNigeria/,https://www.instagram.com/cchubnigeria/,https://www.linkedin.com/company/co-creation-hub/,https://twitter.com/Cc_HUB,"294 , Herbert Macaulay Way, Sabo"
CoLab,Kaduna,Technology,Training,Incubators,,Male,Sanusi Ismaila,https://colab.com.ng,hi@colab.com.ng,2.35E+12,https://web.facebook.com/CoLabkd/?_rdc=1&_rdr,https://www.instagram.com/CoLabkd/,,https://twitter.com/CoLab_kd/,"4,  Barnawa Close"
Delta State Innovation Hub,Delta,Technology,Training,Incubators,,Male,Chris Uwaje,https://deltastateihub.com,support@deltastateihub.com,+234 904-222-3339 ,https://web.facebook.com/pages/Delta%20State%20Innovation%20Hub/382444678762184/?_rdc=1&_rdr,,,,"1, DBS Junction, Okpanam Rd, beside Zenith Bank"
Enspire Hub,Abuja,Technology,Training,Incubators,,Male,Bankole Oloruntoba,http://www.enspire.org.ng/,info@enspire.org.ng,0909 000 0952,https://web.facebook.com/enspireincubator/?_rdc=1&_rdr,https://www.instagram.com/enspireatv/,,https://twitter.com/enspireatv,"No 22, Aguiyi Ironsi Way, Maitama "
Founders Hub,Kwara,Technology,Training,Incubators,,Male,Adeyinka Adekeye,http://foundershub.xyz,contact@foundershub.xyz,+234 908 217 1728 ,,,,https://twitter.com/foundershubng/,"2, Onikanga Street"
Hebron StartUp Labs,Ogun,Technology,Training,Incubators,,,,http://startup.covenantuniversity.edu.ng/,startup@covenantuniversity.edu.ng,0817 758 3008,https://www.facebook.com/hebronstartup/,https://www.instagram.com/hebronstartup/,https://www.linkedin.com/company/hebron-startup-lab/?originalSubdomain=ng,https://twitter.com/hebronstartup?lang=en,"3rd floor, CUCRID Building, Covenant University"
Ideation Hub,,Technology,Training,Incubators,,Female,Debola Deji-Kurunmi,,,,,,,,
Leadpath Nigeria,Lagos,Technology,Training,Incubators,,Male,Olumide Soyombo,http://leadpath.com.ng/,,,https://www.facebook.com/leadpathng/,,,https://twitter.com/leadpathng?lang=en,"70, Olonode Street, Off Hughes Avenue"
NHub,Jos,Technology,Training,Incubators,,Male,Daser David,http://nhubnigeria.com,info@nhubnigeria.com,(+234) 806-889-7177,https://web.facebook.com/nHubNigeria/?_rdc=1&_rdr,https://www.instagram.com/nhub_ng/?hl=en,https://www.linkedin.com/company/nhub/?originalSubdomain=ng,https://twitter.com/nhubng?lang=en,"3rd Floor, TAEN Business Complex, Opposite former NITEL Office"
OlotuSquare,Rivers,Technology,Training,Incubators,,Male,Bruce Lucas,https://olotusquare.co,hello@olotusquare.co,+234 (0) 9067719044,https://web.facebook.com/olotusquare?_rdc=1&_rdr,https://www.instagram.com/olotusquare/,https://www.linkedin.com/company/olotusquare/,https://twitter.com/olotusquare,"1, Khana Street, D/Line"
Passion Incubator,Lagos,Technology,Training,Incubators,,Male,Olufunbi Falayi,http://www.passionincubator.ng/,nfo@passionincubator.ng,23433579178,https://web.facebook.com/passionincubator/?_rdc=1&_rdr,https://www.instagram.com/p_incubator/?hl=en,https://www.linkedin.com/company/passion-incubator/?originalSubdomain=ng,https://twitter.com/p_incubator?lang=en,"70 , Olonode Street"
ROAR Nigeria Hub,Enugu,Technology,Training,Incubators,,Male,Charles Emembolu,http://www.roarnigeria.org/,info@roarnigeria.org,0809 941 3182,https://web.facebook.com/roarnigeria/?_rdc=1&_rdr,https://www.instagram.com/roar_nigeria/,https://www.linkedin.com/in/roar-nigeria-hub-047098142/,https://twitter.com/roar_nigeria,"Beside CEC, directly behind Faculty of Art Theater Building, University of Nigeria Nsukka"
Root Hub,Akwa Ibom,Technology,Training,Incubators,,Male,Tony Onuk,http://theroothub.com/,info@theroothub.com,0809 242 7901,https://web.facebook.com/theroothub/?_rdc=1&_rdr,https://www.instagram.com/theroothub/,,https://twitter.com/theroothub/,"Akees Plaza, Opp Ibom Hall"
SPARK,Lagos,Technology,Training,Incubators,,Male,Chinedu Amah,http://www.thesparkng.com/,contribute@thesparkng.com,,https://web.facebook.com/thesparkng/?_rdc=1&_rdr,https://www.instagram.com/thesparkng/?hl=en,,https://twitter.com/thesparkng?lang=en,"21, Military Street, Off King George V Street"
Start Innovation Hub,Akwa Ibom,Technology,Training,Incubators,,Male,Hanson Johnson,http://www.starthub.com.ng/,email@starthub.com.ng,0909 000 9216,https://web.facebook.com/starthubtech/?_rdc=1&_rdr,https://www.instagram.com/starthubtech/?hl=en,https://www.linkedin.com/showcase/start-innovation-hub/,,"264, Oron road"
StartPreneurs,Abuja,Technology,Training,Incubators,,Female,Jennifer Chizua,http://www.startpreneurs.com.ng/,info@startpreneurs.com.ng,+234 814 042 4240,https://web.facebook.com/startpreneurs/?_rdc=1&_rdr,https://www.instagram.com/startpreneurs/,,https://twitter.com/startpreneurs?lang=en,"50, Ebitu Ukiwe Street"
StoneBricks Hub,Abuja,Technology,Training,Incubators,,Female,Omotola Agbi,http://www.stonebrickshub.com/,info@stonebricksgroup.com,0909 320 9133,https://web.facebook.com/StoneBricksHub/?_rdc=1&_rdr,https://www.instagram.com/stonebricks_hub/,,https://twitter.com/Stonebricks_hub,"10, Danube Close, Off Danube Street, Off IBB Boulevard,"
Technology Development for Poverty Alleviation Initiative (TD4PAI),Abuja,Technology,Training,Incubators,,,,http://www.td4pai.org,td4pai@gmail.com, (+234) 8038198759,https://web.facebook.com/td4pai?_rdc=1&_rdr,,,https://twitter.com/td4pai,"32, Pasali New Extension, Off Lanto Road"
Technology Incubation Center,,Technology,Training,Enterprise Support Organizations,,Female,Rosaline G. Agiamoh,,,,,,,,
The Tangent Eco- Innovation Hub,Abuja,Technology,Training,Enterprise Support Organizations,,,Dami Lawal,www.tangenthub.ng,,0809 456 2884,https://web.facebook.com/TangentHubNG/?_rdc=1&_rdr,,,https://twitter.com/tangent_hub?lang=en,"2, 3rd Floor , NEPZA Building, Zambezi Crescent"
Ventures Platform,,Technology,Training,Enterprise Support Organizations,,Male,Kola Aina,www.venturesplatform.com,hello@venturesplatform.com,234 809 041 5327,https://web.facebook.com/VPlatformHub/?ref=bookmarks&_rdc=1&_rdr,https://www.instagram.com/vplatformhub/,,https://twitter.com/vplatformhub,"Legacy place, Plot 1619 Danmole Street, Off Idejo Street, Victoria Island"
We Hub,,Technology,Training,Enterprise Support Organizations,,,,,,,,,,,
Wennovation Hub,Oyo,Technology,Training,Enterprise Support Organizations,,Male,Wole Odetayo,http://www.wennovationhub.org/,enquiries@wennovationhub.org,0909 000 2648,https://web.facebook.com/wennovationhub?_rdc=1&_rdr,,,https://twitter.com/wennovation,"3rd Floor Alpha and Omega Building, Queen Elizabeth II Road, Mokola"
Association of Micro Entrepreneurs in Nigeria (AMEN),Lagos,Private Sector,Training,Enterprise Support Organizations,,Male,Prince Saviour Iche,www.amenmicro.org,,8034754403,https://www.facebook.com/Amenigeria/,,,https://twitter.com/amennigeria,"No 503, Ikorodu Road, Ile-Ile bus stop"
Association of Small Business Owners of Nigeria (ASBON),Lagos,Private Sector,Training,Enterprise Support Organizations,,Male,Olufemi Egbesola,www.asbon.org,asbonoffice@yahoo.com,8032651424,,,,,"No 33, Abeokuta street, Anifowose"
"Nigerian Association of Chambers of Commerce, Industry, Mines and Agriculture (NACCIMA)",Lagos,Private Sector,Training,Enterprise Support Organizations,,Male,Ayoola Olukanni,https://www.naccima.com,info@naccima.com,+234 811 8877 562,https://web.facebook.com/naccima30?_rdc=1&_rdr,,https://www.linkedin.com/company/naccima30/,https://twitter.com/naccima30,"8A, Oba Akinjobi Way, Ikeja GRA"
Nigerian Association of Small and Medium Enterprises (NASME),Lagos,Private Sector,Training,Enterprise Support Organizations,,Male,Prince Degun Agboade,https://nasmeonline.com,nasmenigeria2@gmail.com,7038711178,https://web.facebook.com/nasmengr/?_rdc=1&_rdr,,,https://twitter.com/nasmeng," 23A, Fatai Atere Way, Matori, Industrial Estate"
Nigerian Association of Small Scale Industrialists (NASSI),Abuja,Private Sector,Training,Enterprise Support Organizations,,Male,Ifeanyi Oputa,,info@nassi.org.ng,23480 361 30044,https://web.facebook.com/nassinig,https://www.instagram.com/nassinig/,,https://twitter.com/NASSINIG1,WAEC Building
NECA’s Network of Entrepreneurial Women (NNEW),Lagos,Private Sector,Training,Enterprise Support Organizations,,Female,Funmilayo Arowoogun,https://www.nnew.org,"info@nnew.org ,",234 909 000 0189,https://www.facebook.com/NNEWabuja/,https://www.instagram.com/nnewabuja/?hl=en,https://www.linkedin.com/in/nnewomen/?originalSubdomain=ng,https://twitter.com/Neca_NNEW,"NECA House, Plot A2 Hakeem Balogun Street"
Nigeria’s Employers Consultative Association (NECA),Lagos,Private Sector,Training,Enterprise Support Organizations,,Male,Olawale Timothy,https://www.neca.org.ng, neca@neca.org.ng,234-1-3422356,https://www.facebook.com/Nigemployers,,,https://twitter.com/necadotorg,"Plot A2, Hakeem Balogun Street"
Lagos State Chambers of Commerce & Industry,Lagos,Public Sector,Training,Enterprise Support Organizations,,Male,Muda Yusuf,https://www.lagoschamber.com,lcci@lagoschamber.com,(+234)1-277-1557,https://www.facebook.com/lagoschamber/,https://www.instagram.com/lagoschamber88/,,https://twitter.com/lagoschamber88,"No 1, Idowu Taylor Street"
Bank of Agriculture (BOA),Kaduna,Public Sector,Funding,Loan Providers,,Male,Alwan Ali Hassan,https://www.boanig.com,info@boanig.com,+234 7040202222,https://web.facebook.com/Bank-Of-Agriculture-167903340429964/?_rdc=1&_rdr,https://www.instagram.com/bankofagriculture/,,https://twitter.com/bankofagricng?lang=en,"1, Yakubu Gowon Way"
Bank of Industry (BOI),Lagos,Public Sector,Funding,Loan Providers,,Male,Olukayode Pitan,https://www.boi.ng, customercare@boi.ng,+(234) 7002255264,https://web.facebook.com/BankofIndustryNigeria/?_rdc=1&_rdr,,https://www.linkedin.com/company/bank-of-industry-limited/?originalSubdomain=ng,https://web.facebook.com/BankofIndustryNigeria/?_rdc=1&_rdr,"23, Marina Street"
Access Bank,Lagos,Private Sector,Funding,Loan Providers,,Male,Herbert Wigwe,https://www.accessbankplc.com/contact-us.aspx,contactcenter@accessbankplc.com,(234) 1-2712005-7,https://www.facebook.com/AccessBankPlc,,https://www.accessbankplc.com/contact-us.aspx#,https://twitter.com/myaccessbank,"14/15, Prince Alaba Oniru Road, Victoria Island"
Guaranty Trust Bank,Lagos,Private Sector,Funding,Loan Providers,,Male,Segun Agbaje,https://www.gtbank.com,gtbankdigitalgroup@gmail.com,0803 900 3900,https://www.facebook.com/gtbank,https://www.instagram.com/gtbank/,https://www.linkedin.com/company/gtbank,https://twitter.com/gtbank,"Plot 635, Akin Adesola Victoria Island"
